Final time of Execution: 0:11:19.250153
And the HyperVolume of the Last Frontier obtained is: 0.999567122553880.0, 2, inf
246376.0, 256020.0, 10, 0.150993405122
246770.0, 252176.0, 10, 0.135640036842
247196.0, 257420.0, 10, 0.13387606632
249128.0, 251848.0, 10, 0.12080499312
244792.0, 253616.0, 10, 0.119113195841
249700.0, 254580.0, 10, 0.112398802265
245708.0, 253340.0, 10, 0.106040362789
251602.0, 251914.0, 10, 0.105618346578
246888.0, 256538.0, 10, 0.103040415817
250984.0, 253492.0, 10, 0.102073638599
248354.0, 255316.0, 10, 0.099660534352
249990.0, 253424.0, 10, 0.0962889299899
247858.0, 253606.0, 10, 0.0866231303949
248758.0, 255164.0, 10, 0.0767900482304
245832.0, 253742.0, 10, 0.0739291875285
251450.0, 250582.0, 10, 0.0730929293932
245592.0, 251096.0, 10, 0.0687752985878
245568.0, 257502.0, 10, 0.0600863131645
248778.0, 254148.0, 10, 0.0566757793444
246898.0, 250790.0, 10, 0.0480482340047
248424.0, 250644.0, 10, 0.0420930905646
249712.0, 251024.0, 10, 0.0415077176055
251316.0, 253734.0, 10, 0.0403430054632
246866.0, 254138.0, 10, 0.0371754278189
256714.0, 255826.0, 11, inf
240206.0, 245902.0, 11, inf
244582.0, 244968.0, 11, inf
249218.0, 261920.0, 11, inf
255714.0, 254322.0, 11, 0.653297104337
248956.0, 259528.0, 11, 0.310728660682
243054.0, 245808.0, 11, 0.24871919894
253510.0, 255292.0, 11, 0.219136962553
251768.0, 258868.0, 11, 0.189438203943
250652.0, 260266.0, 11, 0.167531654537
250076.0, 261692.0, 11, 0.157540531495
243786.0, 245362.0, 11, 0.142112857776
253006.0, 257888.0, 11, 0.107692547826
256064.0, 256038.0, 11, 0.0769759350165
249246.0, 256888.0, 11, 0.0750989152456
252486.0, 257180.0, 11, 0.0697727405009
252264.0, 256788.0, 11, 0.0679583557125
253192.0, 259444.0, 11, 0.0509276438166
249036.0, 254660.0, 11, 0.0504493766976
249024.0, 260150.0, 11, 0.0483808213799
252898.0, 254636.0, 11, 0.0461585516391
250236.0, 254354.0, 11, 0.0444497115132
252364.0, 256348.0, 11, 0.043886911467
253032.0, 255824.0, 11, 0.0427679722378
250504.0, 256174.0, 11, 0.0390035840589
252542.0, 255896.0, 11, 0.0374634953259
253230.0, 256272.0, 11, 0.0295276630502
262138.0, 262096.0, 12, inf
241312.0, 252876.0, 12, inf
256382.0, 266628.0, 12, inf
242784.0, 246062.0, 12, inf
253130.0, 261502.0, 12, 0.541188971337
261474.0, 258254.0, 12, 0.373930136682
241482.0, 250324.0, 12, 0.331114721788
241656.0, 246406.0, 12, 0.269753248972
255344.0, 264354.0, 12, 0.177200700816
257764.0, 265914.0, 12, 0.175777797932
260042.0, 260174.0, 12, 0.13896613479
256582.0, 260834.0, 12, 0.0993263914612
258952.0, 261156.0, 12, 0.093577960934
254630.0, 259162.0, 12, 0.0869644977232
260716.0, 261236.0, 12, 0.0855840876722
255328.0, 262878.0, 12, 0.0854165444998
258482.0, 262342.0, 12, 0.0716408534843
253510.0, 261774.0, 12, 0.0667444649746
254478.0, 259718.0, 12, 0.0636296188648
254198.0, 261820.0, 12, 0.0621372705493
255944.0, 259292.0, 12, 0.0593983039046
Generacion: 2
216846.0, 219734.0, 1, 0.0
227188.0, 232352.0, 2, 0.0
