Final time of Execution: 0:37:26.996429
And the HyperVolume of the Last Frontier obtained is: 0.996618866918358.0, 1, 1.06547979744
954768.0, 943790.0, 6, 0.102609179573
966930.0, 935714.0, 6, 0.0927283974722
954990.0, 948116.0, 6, 0.0854721334429
958492.0, 943840.0, 6, 0.0733952546791
956328.0, 940572.0, 6, 0.0607126837085
964626.0, 940350.0, 6, 0.0553547515887
964900.0, 939330.0, 6, 0.0548077807972
957734.0, 944518.0, 6, 0.0476513010414
957330.0, 940032.0, 6, 0.044825501349
958402.0, 940256.0, 6, 0.0197742224321
934660.0, 941122.0, 7, inf
958734.0, 926494.0, 7, inf
979628.0, 943804.0, 7, inf
954808.0, 958774.0, 7, inf
941506.0, 938338.0, 7, 0.433463498868
950668.0, 927704.0, 7, 0.404159212653
942128.0, 930438.0, 7, 0.338198321174
957194.0, 953496.0, 7, 0.263934248603
942024.0, 932416.0, 7, 0.258565639517
971544.0, 942598.0, 7, 0.230599294952
965902.0, 948204.0, 7, 0.203966097219
961558.0, 951472.0, 7, 0.178432411913
973218.0, 943314.0, 7, 0.153843427032
963730.0, 949716.0, 7, 0.153231685393
959218.0, 944538.0, 7, 0.134790880895
977878.0, 946214.0, 7, 0.121034183857
976782.0, 946512.0, 7, 0.113170759237
958204.0, 952692.0, 7, 0.0969479384156
963096.0, 946710.0, 7, 0.079465821985
965434.0, 946402.0, 7, 0.0575327364832
958854.0, 947518.0, 7, 0.0570457372744
935664.0, 943712.0, 8, inf
963838.0, 964128.0, 8, inf
957504.0, 928654.0, 8, inf
997338.0, 951418.0, 8, inf
943586.0, 931406.0, 8, 0.778599951361
990052.0, 951256.0, 8, 0.21744427794
977904.0, 947502.0, 8, 0.167411239535
974320.0, 956896.0, 8, 0.160908029309
962212.0, 959422.0, 8, 0.157661577263
968620.0, 961346.0, 8, 0.156610360826
960408.0, 963596.0, 8, 0.154760502259
983972.0, 952712.0, 8, 0.138134568586
985120.0, 951666.0, 8, 0.135060291308
969914.0, 949196.0, 8, 0.127349965414
980888.0, 948486.0, 8, 0.0924764425556
966662.0, 957726.0, 8, 0.0730692735285
976924.0, 955126.0, 8, 0.0719249417177
979882.0, 954132.0, 8, 0.0674660207367
966182.0, 957014.0, 8, 0.0636737092952
969404.0, 955338.0, 8, 0.0598836996847
979328.0, 954848.0, 8, 0.0579499696346
966896.0, 948268.0, 8, 0.0559514866454
966322.0, 950732.0, 8, 0.0364610750708
969298.0, 954208.0, 8, 0.0328957983994
