Final time of Execution: 0:46:02.433055
And the HyperVolume of the Last Frontier obtained is: 0.977983906415 980636.0, 2, inf
1084544.0, 927944.0, 3, 0.423860107613
1022336.0, 993212.0, 3, 0.263157874577
1023894.0, 1000234.0, 3, 0.255936685692
1066110.0, 941384.0, 3, 0.234462500537
1060570.0, 924708.0, 3, 0.195120821922
1029932.0, 975058.0, 3, 0.194039413833
1025074.0, 966290.0, 3, 0.177401422962
1052556.0, 941274.0, 3, 0.170446519338
1026048.0, 959550.0, 3, 0.159872581112
1024368.0, 981374.0, 3, 0.146638954445
1031192.0, 932822.0, 3, 0.146460704585
1041478.0, 950570.0, 3, 0.134794116608
1065414.0, 933140.0, 3, 0.11990555236
1023398.0, 953328.0, 3, 0.108775601666
1049560.0, 924186.0, 3, 0.0965001007247
1044046.0, 937846.0, 3, 0.0918048861441
1027478.0, 951006.0, 3, 0.0760201205587
1043612.0, 947338.0, 3, 0.0733986934967
1047218.0, 928022.0, 3, 0.067376328212
1044744.0, 942770.0, 3, 0.0665304336914
1041778.0, 949682.0, 3, 0.0577098054786
1047456.0, 941560.0, 3, 0.0429233034941
1044134.0, 944828.0, 3, 0.040041055627
1031036.0, 944336.0, 3, 0.0369050620195
1043622.0, 950368.0, 3, 0.0145971194669
1072390.0, 930730.0, 4, inf
1026540.0, 1040090.0, 4, inf
1111436.0, 952346.0, 4, inf
1031580.0, 1016162.0, 4, 0.292771092394
1094694.0, 964526.0, 4, 0.132511409976
1104816.0, 967622.0, 4, 0.10023389692
1036696.0, 1012138.0, 4, 0.0972583280001
1047158.0, 998856.0, 4, 0.0825157355919
1027060.0, 1005820.0, 4, 0.0805183659801
1089416.0, 973790.0, 4, 0.0781619323172
1076776.0, 986032.0, 4, 0.0743894815079
1069274.0, 936662.0, 4, 0.0715866235819
1100006.0, 969822.0, 4, 0.068528557752
1099686.0, 982668.0, 4, 0.0683497529815
1082384.0, 938668.0, 4, 0.0680481145001
1050112.0, 1008620.0, 4, 0.0598745405885
1080932.0, 954968.0, 4, 0.0588738584165
1089066.0, 942308.0, 4, 0.0529774025678
1079494.0, 936982.0, 4, 0.0526733651791
1083742.0, 963700.0, 4, 0.0498770525479
1036556.0, 990988.0, 4, 0.046266124725
1108188.0, 960382.0, 4, 0.0440393147838
1029988.0, 996458.0, 4, 0.0440285920812
1054962.0, 987662.0, 4, 0.0434957588971
1048394.0, 991096.0, 4, 0.0424232473706
1038958.0, 955610.0, 4, 0.0422853722346
1045382.0, 994888.0, 4, 0.040886629979
1107764.0, 963718.0, 4, 0.0401215267198
1086342.0, 957770.0, 4, 0.0388380595486
1057338.0, 973728.0, 4, 0.0385863224777
1075492.0, 959698.0, 4, 0.0383974498787
1055470.0, 951076.0, 4, 0.0369484132882
1027614.0, 981396.0, 4, 0.0363527432058
1029786.0, 981698.0, 4, 0.0350777445914
